Filename:	C:\Program Files\Pyris\Data\Elena S\DSC 10-30\pla_ori_1030.pdid.pdid 
Operator ID:	 
Sample ID:	PLA 
Comment: 	pla_ori_1031 run 2 
Serial Number:	536N7042301 
Data Collected:	10/31/2023 11:33:23 AM 
Sample Weight:	19.900 mg 
Display Weight:	19.900 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\Pyris\Calibrations\05-25-2023_DiamDSC_He-Cryo_1.pdic 
Date/Time:	 
Initial Conditions 
Temperature:	 0.00 °C 
Y Initial:	20.00 mW 
Sample Rate:	Fast     
Baseline Filename:	C:\Program Files\Pyris\Data\Elena S\DSC 10-30\backgr2_1030.pdid.pdid 
End Condition:	Go To Load 
Total Points in Run:	3479 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Helium at 20.0 ml/min  
	Action occurs Immediately 
1)	Hold for 1.0 min at 0.00°C 
 
2)	Heat from 0.00°C to 220.00°C at 5.00°C/min 
 
3)	Hold for 1.0 min at 220.00°C 
 
4)	Cool from 220.00°C to 0.00°C at 20.00°C/min 
 
5)	Hold for 1.0 min at 0.00°C 
 
1) Diamond DSC Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow      
	          	Heat Flow     	Heat Flow     	Temperature	Temperature	Gas Flow     	Calibration 
	4.283333	2.833901	-4.347737	16.420000	34.525000	0.000000	1.170320 
	4.300000	2.827347	-4.341066	16.504000	34.528000	0.000000	1.170320 
	4.316667	2.821028	-4.334395	16.587000	34.529000	0.000000	1.170320 
	4.333333	2.814942	-4.327491	16.670000	34.535000	0.000000	1.170320 
	4.350000	2.808973	-4.320235	16.754000	34.539000	0.000000	1.170320 
	4.366667	2.803005	-4.312745	16.837000	34.541000	0.000000	1.170320 
	4.383333	2.797270	-4.305020	16.920000	34.542000	0.000000	1.170320 
	4.400000	2.791419	-4.297296	17.004000	34.546000	0.000000	1.170320 
	4.416667	2.785801	-4.289572	17.087000	34.550000	0.000000	1.170320 
	4.433333	2.780301	-4.281848	17.170000	34.549000	0.000000	1.170320 
	4.450000	2.774917	-4.273890	17.254000	34.553000	0.000000	1.170320 
	4.466667	2.769534	-4.265581	17.337000	34.556000	0.000000	1.170320 
	4.483333	2.764501	-4.256920	17.420000	34.556000	0.000000	1.170320 
	4.500000	2.759469	-4.248026	17.504000	34.556000	0.000000	1.170320 
	4.516667	2.754437	-4.239131	17.587000	34.556000	0.000000	1.170320 
	4.533333	2.749521	-4.230471	17.670000	34.557000	0.000000	1.170320 
	4.550000	2.744606	-4.222162	17.754000	34.560000	0.000000	1.170320 
	4.566667	2.739691	-4.213853	17.837000	34.562000	0.000000	1.170320 
	4.583333	2.734892	-4.205309	17.920000	34.565000	0.000000	1.170320 
	4.600000	2.730211	-4.196766	18.004000	34.566000	0.000000	1.170320 
	4.616667	2.725647	-4.187988	18.087000	34.564000	0.000000	1.170320 
	4.633333	2.721082	-4.179094	18.170000	34.567000	0.000000	1.170320 
	4.650000	2.716518	-4.170434	18.254000	34.567000	0.000000	1.170320 
	4.666667	2.712071	-4.162007	18.337000	34.570000	0.000000	1.170320 
	4.683333	2.707741	-4.154283	18.420000	34.569000	0.000000	1.170320 
	4.700000	2.703411	-4.146910	18.504000	34.569000	0.000000	1.170320 
	4.716667	2.705283	-4.139771	18.587000	34.569000	0.000000	1.170320 
	4.733333	2.958189	-4.132398	18.670000	34.574000	0.000000	1.170320 
	4.750000	3.013545	-4.124674	18.754000	34.599000	0.000000	1.170320 
	4.766667	2.990256	-4.116248	18.837000	34.634000	0.000000	1.170320 
	4.783333	2.980074	-4.107705	18.920000	34.685000	0.000000	1.170320 
	4.800000	3.003129	-4.099161	19.004000	34.746000	0.000000	1.170320 
	4.816667	3.040112	-4.090969	19.087000	34.813000	0.000000	1.170320 
	4.833333	3.074987	-4.083011	19.170000	34.885000	0.000000	1.170320 
	4.850000	3.105766	-4.075404	19.254000	34.959000	0.000000	1.170320 
	4.866667	3.123672	-4.067446	19.337000	35.038000	0.000000	1.170320 
	4.883333	3.131748	-4.058902	19.420000	35.115000	0.000000	1.170320 
	4.900000	3.130460	-4.049657	19.504000	35.195000	0.000000	1.170320 
	4.916667	3.123204	-4.040294	19.587000	35.275000	0.000000	1.170320 
	4.933333	3.110565	-4.031166	19.670000	35.354000	0.000000	1.170320 
	4.950000	3.094297	-4.022154	19.754000	35.436000	0.000000	1.170320 
	4.966667	3.075104	-4.013728	19.837000	35.517000	0.000000	1.170320 
	4.983333	3.054389	-4.005653	19.920000	35.599000	0.000000	1.170320 
	5.000000	3.032504	-3.997343	20.004000	35.679000	0.000000	1.170320 
	5.016667	3.009800	-3.988683	20.087000	35.761000	0.000000	1.170320 
	5.033333	2.986394	-3.979555	20.170000	35.845000	0.000000	1.170320 
	5.050000	2.962519	-3.970309	20.254000	35.926000	0.000000	1.170320 
	5.066667	2.938294	-3.961181	20.337000	36.009000	0.000000	1.170320 
	5.083333	2.913834	-3.952637	20.420000	36.094000	0.000000	1.170320 
	5.100000	2.889491	-3.944445	20.504000	36.179000	0.000000	1.170320 
	5.116667	2.865032	-3.936604	20.587000	36.260000	0.000000	1.170320 
	5.133333	2.840572	-3.928646	20.670000	36.343000	0.000000	1.170320 
